posicion,timestamp_ttn,application_id,device_id,dev_eui,dev_addr,f_cnt,f_port,frm_payload_b64,payload_decoded,format,beacon_id,seq,tx_ms,gateway_id,gateway_eui,gateway_used_for_analysis,rssi,channel_rssi,snr,frequency_hz,spreading_factor,bandwidth_hz,coding_rate,consumed_airtime,cluster_id
H01,2026-07-06T19:39:57.400716085Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260B6210,11,1,TE9SQVdBTjEsSDAxLDExLDQwMzE1NQ==,"LORAWAN1,H01,11,403155",LORAWAN1,H01,11,403155,loragateway-tfgalvaro,0016C001F1618810,True,-105,-105,12,868300000,7,125000,4/5,0.077056s,eu1
H01,2026-07-06T19:39:21.285385104Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260B6210,10,1,TE9SQVdBTjEsSDAxLDEwLDM2Njk1OA==,"LORAWAN1,H01,10,366958",LORAWAN1,H01,10,366958,loragateway-tfgalvaro,0016C001F1618810,True,-106,-106,10,868500000,7,125000,4/5,0.077056s,eu1
H01,2026-07-06T19:38:45.080567211Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260B6210,9,1,TE9SQVdBTjEsSDAxLDksMzMwNzYx,"LORAWAN1,H01,9,330761",LORAWAN1,H01,9,330761,loragateway-tfgalvaro,0016C001F1618810,True,-107,-107,9,867500000,7,125000,4/5,0.077056s,eu1
H01,2026-07-06T19:38:09.911920767Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260B6210,8,1,TE9SQVdBTjEsSDAxLDgsMjk1NjIz,"LORAWAN1,H01,8,295623",LORAWAN1,H01,8,295623,loragateway-tfgalvaro,0016C001F1618810,True,-105,-105,12,868100000,7,125000,4/5,0.077056s,eu1
H01,2026-07-06T19:37:33.711623189Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260B6210,7,1,TE9SQVdBTjEsSDAxLDcsMjU5NDI2,"LORAWAN1,H01,7,259426",LORAWAN1,H01,7,259426,loragateway-tfgalvaro,0016C001F1618810,True,-104,-104,11.8,867300000,7,125000,4/5,0.077056s,eu1
H01,2026-07-06T19:36:57.512057347Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260B6210,6,1,TE9SQVdBTjEsSDAxLDYsMjIzMjI5,"LORAWAN1,H01,6,223229",LORAWAN1,H01,6,223229,loragateway-tfgalvaro,0016C001F1618810,True,-113,-113,7,867900000,7,125000,4/5,0.077056s,eu1
H01,2026-07-06T19:36:21.322236005Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260B6210,5,1,TE9SQVdBTjEsSDAxLDUsMTg3MDMy,"LORAWAN1,H01,5,187032",LORAWAN1,H01,5,187032,loragateway-tfgalvaro,0016C001F1618810,True,-112,-112,7,867700000,7,125000,4/5,0.077056s,eu1
H01,2026-07-06T19:35:45.106634808Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260B6210,4,1,TE9SQVdBTjEsSDAxLDQsMTUwODM0,"LORAWAN1,H01,4,150834",LORAWAN1,H01,4,150834,loragateway-tfgalvaro,0016C001F1618810,True,-110,-110,7.5,867500000,7,125000,4/5,0.077056s,eu1
H01,2026-07-06T19:35:08.956620262Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260B6210,3,1,TE9SQVdBTjEsSDAxLDMsMTE0NjM3,"LORAWAN1,H01,3,114637",LORAWAN1,H01,3,114637,loragateway-tfgalvaro,0016C001F1618810,True,-106,-106,11.2,868300000,7,125000,4/5,0.077056s,eu1
H01,2026-07-06T19:34:33.772962001Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260B6210,2,1,TE9SQVdBTjEsSDAxLDIsNzkzODU=,"LORAWAN1,H01,2,79385",LORAWAN1,H01,2,79385,loragateway-tfgalvaro,0016C001F1618810,True,-108,-108,11.2,868100000,8,125000,4/5,0.143872s,eu1
H01,2026-07-06T19:33:58.374738853Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260B6210,1,1,TE9SQVdBTjEsSDAxLDEsNDM5NTc=,"LORAWAN1,H01,1,43957",LORAWAN1,H01,1,43957,loragateway-tfgalvaro,0016C001F1618810,True,-107,-107,8.5,868500000,9,125000,4/5,0.246784s,eu1
H01,2026-07-06T19:33:22.015141854Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260B6210,,1,TE9SQVdBTjEsSDAxLDAsNzU5MA==,"LORAWAN1,H01,0,7590",LORAWAN1,H01,0,7590,loragateway-tfgalvaro,0016C001F1618810,True,-109,-109,9.2,867500000,9,125000,4/5,0.246784s,eu1
H01,2026-07-06T19:30:22.549027681Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260B6296,2,1,TE9SQVdBTjEsSDAxLDIsNzg0NDU=,"LORAWAN1,H01,2,78445",LORAWAN1,H01,2,78445,loragateway-tfgalvaro,0016C001F1618810,True,-106,-106,11,867700000,7,125000,4/5,0.077056s,eu1
H01,2026-07-06T19:29:47.266992152Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260B6296,1,1,TE9SQVdBTjEsSDAxLDEsNDMwMTc=,"LORAWAN1,H01,1,43017",LORAWAN1,H01,1,43017,loragateway-tfgalvaro,0016C001F1618810,True,-104,-104,9.2,867500000,9,125000,4/5,0.246784s,eu1
H01,2026-07-06T19:29:11.921842454Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260B6296,,1,TE9SQVdBTjEsSDAxLDAsNzU5MA==,"LORAWAN1,H01,0,7590",LORAWAN1,H01,0,7590,loragateway-tfgalvaro,0016C001F1618810,True,-107,-107,11.2,867300000,9,125000,4/5,0.246784s,eu1
