posicion,rssi,snr,spreading_factor,posicion_predicha,clasificacion_correcta
H01,-105,12.0,7,H01,True
H01,-106,10.0,7,H01,True
H01,-107,9.0,7,H01,True
H01,-105,12.0,7,H01,True
H01,-104,11.8,7,H01,True
H01,-113,7.0,7,H01,True
H01,-112,7.0,7,H01,True
H01,-110,7.5,7,H01,True
H01,-106,11.2,7,H01,True
H01,-108,11.2,8,H01,True
H01,-107,8.5,9,H01,True
H01,-109,9.2,9,H01,True
H01,-106,11.0,7,H01,True
H01,-104,9.2,9,H01,True
H01,-107,11.2,9,H01,True
H02,-115,2.8,7,H02,True
H02,-116,3.0,7,H02,True
H02,-121,-7.5,7,H02,True
H02,-113,5.0,7,H01,False
H02,-120,-4.0,7,H02,True
H02,-121,-4.5,7,H02,True
H02,-121,-5.5,7,H02,True
H02,-120,-8.0,7,H02,True
H02,-121,-4.5,7,H02,True
H02,-115,3.8,7,H02,True
H02,-119,-2.0,7,H02,True
H02,-119,-2.2,7,H02,True
H02,-119,-1.5,7,H02,True
H03,-119,-3.8,9,H03,True
H03,-121,-3.8,9,H03,True
H03,-121,-6.2,9,H03,True
H03,-120,-4.5,9,H03,True
H03,-120,-5.0,9,H03,True
H03,-121,-5.2,9,H03,True
H03,-121,-5.5,9,H03,True
H03,-119,-2.8,9,H03,True
H03,-121,-7.5,9,H03,True
H03,-119,-3.5,9,H03,True
H03,-122,-9.5,9,H03,True
